"gene","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Itih3",16426,"inter-alpha trypsin inhibitor, heavy chain 3, transcript variant X2","ENSMUSG00000006522","Intin3","14","protein_coding",NA,"ITIH3"
"Ptn",19242,"pleiotrophin, transcript variant X1","ENSMUSG00000029838","HB-GAM","6","protein_coding","abnormal circulating enzyme level","PTN"
"Prodh",19125,"proline dehydrogenase","ENSMUSG00000003526","Pro-1","16","protein_coding","increased lung weight",NA
"Msantd1",403174,"Myb/SANT-like DNA-binding domain containing 1, transcript variant X2","ENSMUSG00000051246","A930005I04Rik","5","protein_coding","abnormal heart morphology","MSANTD1"
"Ugt8a",22239,"UDP galactosyltransferase 8A, transcript variant X1","ENSMUSG00000032854","Cgt","3","protein_coding","abnormal Purkinje cell morphology","UGT8"
"Fbln5",23876,"fibulin 5","ENSMUSG00000021186","EVEC","12","protein_coding","abnormal aorta elastic fiber morphology","FBLN5"
"Trp53inp2",68728,"transformation related protein 53 inducible nuclear protein 2, transcript variant X2","ENSMUSG00000038375","1110029F20Rik","2","protein_coding","abnormal eye morphology","TP53INP2"
"Slc7a3",11989,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 3, transcript variant X5","ENSMUSG00000031297","Atrc3","X","protein_coding","decreased body length","SLC7A3"
"Dnase1l2",66705,"deoxyribonuclease 1-like 2, transcript variant X2","ENSMUSG00000024136","4733401H14Rik","17","protein_coding","abnormal autopod morphology","DNASE1L2"
"Icosl",50723,"icos ligand","ENSMUSG00000000732","B7-H2","10","protein_coding","abnormal T cell differentiation","ICOSLG"
"Rmnd1",66084,"required for meiotic nuclear division 1 homolog (S. cerevisiae), transcript variant X2","ENSMUSG00000019763","0610042C05Rik","10","protein_coding",NA,"RMND1"
"Tssk5",73542,"testis-specific serine kinase 5","ENSMUSG00000060794","1700091F14Rik","15","protein_coding","decreased leukocyte cell number",NA
"Pycr1",209027,"pyrroline-5-carboxylate reductase 1","ENSMUSG00000025140",NA,"11","protein_coding","impaired glucose tolerance","PYCR1"
"Pla2g3",237625,"phospholipase A2, group III, transcript variant X2","ENSMUSG00000034579","9130003P18Rik","11","protein_coding","abnormal acrosome morphology","PLA2G3"
"Vmn2r1",56544,"vomeronasal 2, receptor 1, transcript variant X1","ENSMUSG00000027824","EG56544","3","protein_coding","abnormal vomeronasal organ morphology",NA
"Gm29797",101056205,"predicted gene, 29797, transcript variant X1","ENSMUSG00000108976",NA,"2","protein_coding",NA,"C20orf204"
"Phyhd1",227696,"phytanoyl-CoA dioxygenase domain containing 1, transcript variant 1","ENSMUSG00000079484",NA,"2","protein_coding",NA,"PHYHD1"
"Gpr146",80290,"G protein-coupled receptor 146, transcript variant X1","ENSMUSG00000044197","PGR8","5","protein_coding","decreased circulating cholesterol level","GPR146"
"Mag",17136,"myelin-associated glycoprotein, transcript variant X1","ENSMUSG00000036634","Gma","7","protein_coding","abnormal auditory brainstem response","MAG"
"Tufm",233870,"Tu translation elongation factor, mitochondrial, transcript variant X1","ENSMUSG00000073838","2300002G02Rik","7","protein_coding","abnormal bone structure","TUFM"
"Igdcc4",56741,"immunoglobulin superfamily, DCC subclass, member 4, transcript variant X10","ENSMUSG00000032816","9330155G14Rik","9","protein_coding",NA,"IGDCC4"
"Gm10654",665828,"predicted gene 10654","ENSMUSG00000074252","EG665828","8","TEC",NA,NA
"Ncmap",230822,"noncompact myelin associated protein, transcript variant 1","ENSMUSG00000043924","A330049M08Rik","4","protein_coding",NA,"NCMAP"
"Etv4",18612,"ets variant 4","ENSMUSG00000017724","Pea-3","11","protein_coding","abnormal branching of the mammary ductal tree","ETV4"
"Fabp7",12140,"fatty acid binding protein 7, brain","ENSMUSG00000019874","B-FABP","10","protein_coding","abnormal dentate gyrus morphology","FABP7"
"Cpsf4l",52670,"cleavage and polyadenylation specific factor 4-like, transcript variant X2","ENSMUSG00000018727","0610010C04Rik","11","protein_coding","increased bone mineral density","CPSF4L"
"Hexa",15211,"hexosaminidase A, transcript variant X1","ENSMUSG00000025232","Hex-1","9","protein_coding","abnormal brain morphology",NA
"Mfge8",17304,"milk fat globule-EGF factor 8 protein, transcript variant 2","ENSMUSG00000030605","EGF/factor VIII","7","protein_coding","abnormal cell adhesion","MFGE8"
"Ccdc136",232664,"coiled-coil domain containing 136, transcript variant X2","ENSMUSG00000029769","4921511K06Rik","6","protein_coding","abnormal sperm nucleus morphology","CCDC136"
"Glul",14645,"glutamate-ammonia ligase (glutamine synthetase)","ENSMUSG00000026473","Glns","1","protein_coding","embryonic lethality before implantation incomplete penetrance","GLUL"
"Hopx",74318,"HOP homeobox, transcript variant 1","ENSMUSG00000059325","1110018K11Rik","5","protein_coding","abnormal cardiovascular system physiology","HOPX"
"Pigq",14755,"phosphatidylinositol glycan anchor biosynthesis, class Q, transcript variant 2","ENSMUSG00000025728","Gpi1","17","protein_coding","abnormal allantois morphology","PIGQ"
"Vps11",71732,"vacuolar protein sorting 11 (yeast), transcript variant X3","ENSMUSG00000032127","1200011A11Rik","9","protein_coding","abnormal circulating phosphate level","VPS11"
"Proca1",216974,"protein interacting with cyclin A1","ENSMUSG00000044122","4933404M19Rik","11","protein_coding",NA,"PROCA1"
"Fbxl22",74165,"F-box and leucine-rich repeat protein 22","ENSMUSG00000050503","1110004B15Rik","9","protein_coding","increased circulating HDL cholesterol level","FBXL22"
"Sfxn5",94282,"sideroflexin 5, transcript variant X1","ENSMUSG00000033720","C230001H08Rik","6","protein_coding",NA,"SFXN5"
"Hexim2",71059,"hexamethylene bis-acetamide inducible 2, transcript variant X5","ENSMUSG00000043372","4933402L21Rik","11","protein_coding",NA,"HEXIM2"
"Agt",11606,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","ENSMUSG00000031980","angiotensin precursor","8","protein_coding","abnormal blood homeostasis","AGT"
"Rlbp1",19771,"retinaldehyde binding protein 1, transcript variant X4","ENSMUSG00000039194","3110056M11Rik","7","protein_coding","abnormal tooth morphology","RLBP1"
"Jam2",67374,"junction adhesion molecule 2","ENSMUSG00000053062","2410030G21Rik","16","protein_coding","abnormal retina morphology","JAM2"
"Lcat",16816,"lecithin cholesterol acyltransferase","ENSMUSG00000035237","D8Wsu61e","8","protein_coding","abnormal adrenal gland morphology","LCAT"
"Oxct1",67041,"3-oxoacid CoA transferase 1","ENSMUSG00000022186","2610008O03Rik","15","protein_coding","abnormal autophagy","OXCT1"
"Cacna1e",12290,"calcium channel, voltage-dependent, R type, alpha 1E subunit, transcript variant X5","ENSMUSG00000004110","alpha1E","1","protein_coding","abnormal channel response","CACNA1E"
"Fa2h",338521,"fatty acid 2-hydroxylase","ENSMUSG00000033579","Faxdc1","8","protein_coding","abnormal Purkinje cell morphology","FA2H"
"Plxnb3",140571,"plexin B3, transcript variant X1","ENSMUSG00000031385","Plxn6","X","protein_coding","abnormal coat appearance","PLXNB3"
"Lman2l",214895,"lectin, mannose-binding 2-like, transcript variant X2","ENSMUSG00000001143","A630028F14Rik","1","protein_coding",NA,"LMAN2L"
"Dpy19l1",244745,"dpy-19-like 1 (C. elegans), transcript variant X1","ENSMUSG00000043067","1100001I19Rik","9","protein_coding","abnormal heart morphology","DPY19L1"
"Kctd21",622320,"potassium channel tetramerisation domain containing 21, transcript variant X1","ENSMUSG00000044952","EG622320","7","protein_coding",NA,"KCTD21"
"Thra",21833,"thyroid hormone receptor alpha","ENSMUSG00000058756","6430529J03Rik","11","protein_coding","abnormal body weight","THRA"
"Dok3",27261,"docking protein 3","ENSMUSG00000035711","p62Dok-like protein","13","protein_coding","abnormal B cell physiology","DOK3"
"Sult1a1",20887,"sulfotransferase family 1A, phenol-preferring, member 1, transcript variant X1","ENSMUSG00000030711","PST","7","protein_coding","abnormal blood homeostasis",NA
"Rpe",66646,"ribulose-5-phosphate-3-epimerase, transcript variant X8","ENSMUSG00000026005","2810429B02Rik","1","protein_coding","abnormal kidney morphology","RPEL1"
"Acrbp",54137,"proacrosin binding protein, transcript variant 1","ENSMUSG00000072770","OY-TES-1","6","protein_coding","delayed fertilization","ACRBP"
"Slc2a9",117591,"solute carrier family 2 (facilitated glucose transporter), member 9, transcript variant 4","ENSMUSG00000005107","Glut9","5","protein_coding","abnormal renal reabsorption","SLC2A9"
"Emp2",13731,"epithelial membrane protein 2","ENSMUSG00000022505","Xmp","16","protein_coding",NA,"EMP2"
"Aipl1",114230,"aryl hydrocarbon receptor-interacting protein-like 1, transcript variant X5","ENSMUSG00000040554","A930007I01Rik","11","protein_coding","abnormal Muller cell morphology","AIPL1"
"Uri1",19777,"URI1, prefoldin-like chaperone, transcript variant X1","ENSMUSG00000030421","C80913","7","protein_coding","increased circulating amylase level","URI1"
"Bcs1l",66821,"BCS1-like (yeast), transcript variant X1","ENSMUSG00000026172","9130022O19Rik","1","protein_coding","preweaning lethality complete penetrance","BCS1L"
"Rbm3",19652,"RNA binding motif protein 3, transcript variant 1","ENSMUSG00000031167","2600016C11Rik","X","protein_coding","abnormal liver morphology","RBM3"
"Tra2a",101214,"transformer 2 alpha homolog (Drosophila), transcript variant X5","ENSMUSG00000029817","1500010G04Rik","6","protein_coding","decreased startle reflex","TRA2A"
"Prex1",277360,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1","ENSMUSG00000039621","P-REX1","2","protein_coding","abnormal contextual conditioning behavior","PREX1"
"Josd2",66124,"Josephin domain containing 2, transcript variant 1","ENSMUSG00000038695","1110007C05Rik","7","protein_coding",NA,"JOSD2"
"Tmco3",234076,"transmembrane and coiled-coil domains 3","ENSMUSG00000038497","B230339H12Rik","8","protein_coding","increased startle reflex","TMCO3"
"Srebf1",20787,"sterol regulatory element binding transcription factor 1","ENSMUSG00000020538","ADD-1","11","protein_coding","abnormal triglyceride level","SREBF1"
"Acer2",230379,"alkaline ceramidase 2, transcript variant X2","ENSMUSG00000038007","2410116I05Rik","4","protein_coding","abnormal sphingolipid level","ACER2"
"Tsga10",211484,"testis specific 10, transcript variant X10","ENSMUSG00000060771","4933432N21Rik","1","protein_coding",NA,"TSGA10"
"Cyp3a13",13113,"cytochrome P450, family 3, subfamily a, polypeptide 13","ENSMUSG00000029727","IIIAm2","5","protein_coding","no abnormal phenotype detected","CYP3A43"
"Relt",320100,"RELT tumor necrosis factor receptor, transcript variant X10","ENSMUSG00000008318","E430021K24Rik","7","protein_coding","abnormal T cell morphology","RELT"
"Nrep",27528,"neuronal regeneration related protein, transcript variant 2","ENSMUSG00000042834","D0H4S114","18","protein_coding","abnormal grooming behavior","NREP"
"Slc14a1",108052,"solute carrier family 14 (urea transporter), member 1, transcript variant 3","ENSMUSG00000059336","2610507K20Rik","18","protein_coding","abnormal Sertoli cell development","SLC14A1"
"Pnpla2",66853,"patatin-like phospholipase domain containing 2, transcript variant 3","ENSMUSG00000025509","0610039C21Rik","7","protein_coding","abnormal brown adipose tissue morphology","PNPLA2"
"Map6d1",208158,"MAP6 domain containing 1","ENSMUSG00000041205","A330066I15Rik","16","protein_coding",NA,"MAP6D1"
"Ier5",15939,"immediate early response 5","ENSMUSG00000056708",NA,"1","protein_coding",NA,"IER5"
"Bfsp2",107993,"beaded filament structural protein 2, phakinin","ENSMUSG00000032556","CP49","9","protein_coding","abnormal cell cytoskeleton morphology","BFSP2"
"Idi1",319554,"isopentenyl-diphosphate delta isomerase","ENSMUSG00000058258","4832416K17Rik","13","protein_coding","decreased grip strength","IDI1"
"Kat2b",18519,"K(lysine) acetyltransferase 2B, transcript variant X2","ENSMUSG00000000708","A930006P13Rik","17","protein_coding","decreased circulating HDL cholesterol level","KAT2B"
"Rmdn3",67809,"regulator of microtubule dynamics 3","ENSMUSG00000070730","1200015F23Rik","2","protein_coding","abnormal Purkinje cell morphology","RMDN3"
"Eif4b",75705,"eukaryotic translation initiation factor 4B","ENSMUSG00000058655","2310046H11Rik","15","protein_coding","abnormal auditory brainstem response","EIF4B"
"Grm4",268934,"glutamate receptor, metabotropic 4, transcript variant 2","ENSMUSG00000063239","Gprc1d","17","protein_coding","abnormal motor learning","GRM4"
"Pink1",68943,"PTEN induced putative kinase 1","ENSMUSG00000028756","1190006F07Rik","4","protein_coding","decreased mean platelet volume","PINK1"
"Mettl16",67493,"methyltransferase like 16, transcript variant X3","ENSMUSG00000010554","2610100D03Rik","11","protein_coding","abnormal coat/hair pigmentation","METTL16"
"Fam193b",212483,"family with sequence similarity 193, member B","ENSMUSG00000021495","IRIZIO","13","protein_coding",NA,"FAM193B"
"Rtca",66368,"RNA 3'-terminal phosphate cyclase","ENSMUSG00000000339","2310009A18Rik","3","protein_coding","improved central nervous system regeneration","RTCA"
"Fgfbp1",14181,"fibroblast growth factor binding protein 1, transcript variant X2","ENSMUSG00000048373","FGF-BP","5","protein_coding","abnormal neuromuscular synapse morphology","FGFBP1"
"Pigs",276846,"phosphatidylinositol glycan anchor biosynthesis, class S","ENSMUSG00000041958","LOC245087","11","protein_coding",NA,"PIGS"
"Cfp",18636,"complement factor properdin","ENSMUSG00000001128","Pfc","X","protein_coding","abnormal cardiovascular system physiology","CFP"
"Desi1",28075,"desumoylating isopeptidase 1, transcript variant X1","ENSMUSG00000022472","D15Wsu75e","15","protein_coding",NA,"DESI1"
"Gbp4",17472,"guanylate binding protein 4, transcript variant X6","ENSMUSG00000079363","Mag-2","5","protein_coding","decreased circulating alkaline phosphatase level","GBP6"
"Nid1",18073,"nidogen 1","ENSMUSG00000005397","entactin","13","protein_coding","abnormal basement membrane morphology","NID1"
"Armcx5",494468,"armadillo repeat containing, X-linked 5","ENSMUSG00000072969",NA,"X","protein_coding",NA,"ARMCX5"
"Cryab",12955,"crystallin, alpha B, transcript variant 1","ENSMUSG00000032060","alpha B-crystallin","9","protein_coding","decreased circulating phosphate level","CRYAB"
"Prss53",330657,"protease, serine 53","ENSMUSG00000044139","BC039632","7","protein_coding","abnormal bone structure","PRSS53"
"Car4",12351,"carbonic anhydrase 4","ENSMUSG00000000805","CA IV","11","protein_coding","abnormal lens morphology","CA4"
"Gm6277",621998,"predicted gene 6277","ENSMUSG00000097440",NA,"18","lncRNA",NA,NA
"Amt",434437,"aminomethyltransferase","ENSMUSG00000032607","EG434437","9","protein_coding","abnormal neural tube morphology","AMT"
"Zc3h6",78751,"zinc finger CCCH type containing 6","ENSMUSG00000042851","4631426G04Rik","2","protein_coding",NA,"ZC3H6"
"Aqp4",11829,"aquaporin 4","ENSMUSG00000024411","aquaporin-4","18","protein_coding","abnormal astrocyte physiology","AQP4"
"Tmem198b",73827,"transmembrane protein 198b, transcript variant X7","ENSMUSG00000047090","1110012D08Rik","10","protein_coding","reduced sensorimotor gating",NA
"Abi3bp",320712,"ABI gene family, member 3 (NESH) binding protein, transcript variant X27","ENSMUSG00000035258","5033411B22Rik","16","protein_coding","preweaning lethality incomplete penetrance","ABI3BP"
"Xpa",22590,"xeroderma pigmentosum, complementation group A, transcript variant X2","ENSMUSG00000028329","Xpac","4","protein_coding","abnormal Langerhans cell physiology","XPA"
"Aldh6a1",104776,"aldehyde dehydrogenase family 6, subfamily A1","ENSMUSG00000021238","1110038I05Rik","12","protein_coding",NA,"ALDH6A1"
"Adam1a",280668,"a disintegrin and metallopeptidase domain 1a","ENSMUSG00000072647","fertilin alpha","5","protein_coding","abnormal fertilization",NA
"Dynlt1a",100310872,"dynein light chain Tctex-type 1A","ENSMUSG00000092074",NA,"17","protein_coding",NA,"DYNLT1"
"Gatm",67092,"glycine amidinotransferase (L-arginine:glycine amidinotransferase)","ENSMUSG00000027199","1810003P21Rik","2","protein_coding","abnormal behavior","GATM"
"H2-Q4",15015,"histocompatibility 2, Q region locus 4, transcript variant X4","ENSMUSG00000035929","H-2Q4","17","protein_coding",NA,"HLA-E"
"Nras",18176,"neuroblastoma ras oncogene","ENSMUSG00000027852","N-ras","3","protein_coding","decreased basophil cell number","NRAS"
"Pla2g4e",329502,"phospholipase A2, group IVE, transcript variant X4","ENSMUSG00000050211","2310026J01Rik","2","protein_coding","abnormal coat appearance","PLA2G4E"
"Lpar1",14745,"lysophosphatidic acid receptor 1, transcript variant X4","ENSMUSG00000038668","Edg2","4","protein_coding","preweaning lethality complete penetrance","LPAR1"
"Il12rb1",16161,"interleukin 12 receptor, beta 1, transcript variant X1","ENSMUSG00000000791","CD212","8","protein_coding","abnormal skin coloration","IL12RB1"
"Enpp6",320981,"ectonucleotide pyrophosphatase/phosphodiesterase 6, transcript variant X2","ENSMUSG00000038173","4833421B01Rik","8","protein_coding",NA,"ENPP6"
"Ermn",77767,"ermin, ERM-like protein","ENSMUSG00000026830","A330104H05Rik","2","protein_coding","increased blood urea nitrogen level","ERMN"
"Marcksl1",17357,"MARCKS-like 1","ENSMUSG00000047945","D4Bc1","4","protein_coding","abnormal brain morphology","MARCKSL1"
"Ubqln4",94232,"ubiquilin 4, transcript variant X1","ENSMUSG00000008604","UBIN","3","protein_coding",NA,"UBQLN4"
"Glt8d1",76485,"glycosyltransferase 8 domain containing 1, transcript variant X1","ENSMUSG00000021916","2410004H05Rik","14","protein_coding","no abnormal phenotype detected","GLT8D1"
"Ddx25",30959,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 25","ENSMUSG00000032101","DEAD (Asp-Glu-Ala-Asp) box polypeptide 25","9","protein_coding","abnormal Leydig cell morphology","DDX25"
"Gpr17",574402,"G protein-coupled receptor 17","ENSMUSG00000052229",NA,"18","protein_coding","abnormal myelination","GPR17"
"Cat",12359,"catalase","ENSMUSG00000027187","Cas-1","2","protein_coding","abnormal aerobic respiration","CAT"
"Wwox",80707,"WW domain-containing oxidoreductase, transcript variant X9","ENSMUSG00000004637","5330426P09Rik","8","protein_coding","abnormal circulating enzyme level","WWOX"
"Phkg1",18682,"phosphorylase kinase gamma 1","ENSMUSG00000025537",NA,"5","protein_coding","abnormal kidney morphology","PHKG1"
"Ppp1r3f",54646,"protein phosphatase 1, regulatory (inhibitor) subunit 3F, transcript variant 2","ENSMUSG00000039556","DXImx48e","X","protein_coding",NA,"PPP1R3F"
"Mrpl35",66223,"mitochondrial ribosomal protein L35","ENSMUSG00000052962","1110066C01Rik","6","protein_coding",NA,"MRPL35"
"Nudt9",74167,"nudix (nucleoside diphosphate linked moiety X)-type motif 9, transcript variant X1","ENSMUSG00000029310","1190002C07Rik","5","protein_coding",NA,"NUDT9"
"Lypd6",320343,"LY6/PLAUR domain containing 6, transcript variant 2","ENSMUSG00000050447","E130115E03Rik","2","protein_coding","abnormal skin morphology","LYPD6"
"Spice1",212514,"spindle and centriole associated protein 1, transcript variant X4","ENSMUSG00000043065","Ccdc52","16","protein_coding","improved glucose tolerance","SPICE1"
"Tuba8",53857,"tubulin, alpha 8","ENSMUSG00000030137",NA,"6","protein_coding","abnormal sinus arrhythmia","TUBA8"
"Spon1",233744,"spondin 1, (f-spondin) extracellular matrix protein","ENSMUSG00000038156","D330035F22Rik","7","protein_coding","abnormal bone remodeling","SPON1"
"Nfya",18044,"nuclear transcription factor-Y alpha, transcript variant X5","ENSMUSG00000023994","Cbf-b","17","protein_coding","abnormal eye morphology","NFYA"
"Sc5d",235293,"sterol-C5-desaturase (fungal ERG3, delta-5-desaturase) homolog (S. cerevisae), transcript variant X1","ENSMUSG00000032018","A830073K23Rik","9","protein_coding","abnormal autopod morphology","SC5D"
"Aldh18a1",56454,"aldehyde dehydrogenase 18 family, member A1, transcript variant 2","ENSMUSG00000025007","2810433K04Rik","19","protein_coding","abnormal hypodermis fat layer morphology","ALDH18A1"
"Ebp",13595,"phenylalkylamine Ca2+ antagonist (emopamil) binding protein","ENSMUSG00000031168","mSI","X","protein_coding","abnormal embryonic erythrocyte morphology",NA
"Srr",27364,"serine racemase, transcript variant X2","ENSMUSG00000001323","M100034","11","protein_coding","abnormal excitatory postsynaptic currents","SRR"
"Gm14827",100503393,"predicted gene 14827","ENSMUSG00000084904",NA,"X","lncRNA",NA,NA
"Gm31135",102633271,"predicted gene, 31135, transcript variant X9","ENSMUSG00000109127","Gm45158","8","lncRNA",NA,NA
"Adam17",11491,"a disintegrin and metallopeptidase domain 17, transcript variant 3","ENSMUSG00000052593","CD156b","12","protein_coding","abnormal vibrissa morphology","ADAM17"
"Slc39a2",214922,"solute carrier family 39 (zinc transporter), member 2, transcript variant X1","ENSMUSG00000072572","F730005G13Rik","14","protein_coding","abnormal calcium ion homeostasis","SLC39A2"
"Snn",20621,"stannin","ENSMUSG00000037972","2810407J07Rik","16","protein_coding",NA,"SNN"
"Hnrnpc",15381,"heterogeneous nuclear ribonucleoprotein C, transcript variant 3","ENSMUSG00000060373","D14Wsu171e","14","protein_coding","abnormal lens morphology","HNRNPCL2"
"Srbd1",78586,"S1 RNA binding domain 1, transcript variant X1","ENSMUSG00000024135","D530025C17Rik","17","protein_coding","abnormal coat/hair pigmentation","SRBD1"
"Ptp4a1",19243,"protein tyrosine phosphatase 4a1, transcript variant X1","ENSMUSG00000026064","Prl-1","1","protein_coding","abnormal heart morphology","PTP4A1"
"Tppp",72948,"tubulin polymerization promoting protein","ENSMUSG00000021573","2900041A09Rik","13","protein_coding","abnormal behavior","TPPP"
"Stac3",237611,"SH3 and cysteine rich domain 3, transcript variant X1","ENSMUSG00000040287",NA,"10","protein_coding","abnormal Z line morphology","STAC3"
"Emid1",140703,"EMI domain containing 1, transcript variant X2","ENSMUSG00000034164","CO-5","11","protein_coding","decreased circulating free fatty acids level","EMID1"
"Cotl1",72042,"coactosin-like 1 (Dictyostelium)","ENSMUSG00000031827","1810074P22Rik","8","protein_coding","abnormal coat/hair pigmentation","COTL1"
"Ovgp1",12659,"oviductal glycoprotein 1","ENSMUSG00000074340","Chit5","3","protein_coding",NA,"OVGP1"
"Ssx2ip",99167,"synovial sarcoma, X breakpoint 2 interacting protein, transcript variant X2","ENSMUSG00000036825","Adip","3","protein_coding","decreased grip strength","SSX2IP"
"Hsd3b7",101502,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7, transcript variant 1","ENSMUSG00000042289",NA,"7","protein_coding","abnormal bile salt homeostasis","HSD3B7"
"Kazald1",107250,"Kazal-type serine peptidase inhibitor domain 1, transcript variant X3","ENSMUSG00000025213","Bono1","19","protein_coding",NA,"KAZALD1"
"Omd",27047,"osteomodulin, transcript variant X1","ENSMUSG00000048368","OSAD","13","protein_coding","impaired cued conditioning behavior","OMD"
"Bcas1",76960,"breast carcinoma amplified sequence 1, transcript variant X2","ENSMUSG00000013523","2210416M21Rik","2","protein_coding","abnormal lung morphology","BCAS1"
"Gm9925",433202,"predicted gene 9925, transcript variant X1","ENSMUSG00000053861",NA,"18","protein_coding",NA,NA
"Dleu2",668253,"deleted in lymphocytic leukemia, 2","ENSMUSG00000097589","1810047A16Rik","14","lncRNA",NA,NA
"Chil3",12655,"chitinase-like 3","ENSMUSG00000040809","Chi3l3","3","protein_coding",NA,"CHIA"
"Deaf1",54006,"deformed epidermal autoregulatory factor 1 (Drosophila), transcript variant 3","ENSMUSG00000058886","C230009B13Rik","7","protein_coding","abnormal neural tube morphology","DEAF1"
"Dusp19",68082,"dual specificity phosphatase 19","ENSMUSG00000027001","5930436K22Rik","2","protein_coding",NA,"DUSP19"
"Gkn3",68888,"gastrokine 3","ENSMUSG00000030048","1190003M12Rik","6","protein_coding",NA,"GKN3P"
"Pllp",67801,"plasma membrane proteolipid","ENSMUSG00000031775","0610010I06Rik","8","protein_coding",NA,"PLLP"
"Sox2ot",320478,"SOX2 overlapping transcript (non-protein coding)","ENSMUSG00000105265","B230215L15Rik","3","lncRNA",NA,NA
"Ntf3",18205,"neurotrophin 3, transcript variant X1","ENSMUSG00000049107","NT-3","6","protein_coding","abnormal Merkel's receptor morphology","NTF3"
"Lum",17022,"lumican","ENSMUSG00000036446","Ldc","10","protein_coding","abnormal tail morphology","LUM"
"Gm20751",622552,"predicted gene, 20751","ENSMUSG00000110016",NA,"13","lncRNA",NA,NA
"Thnsl2",232078,"threonine synthase-like 2 (bacterial), transcript variant 2","ENSMUSG00000054474","TSH2","6","protein_coding",NA,"THNSL2"
"Slc2a4rg-ps",329584,"Slc2a4 regulator, pseudogene","ENSMUSG00000085028",NA,"2","transcribed_unitary_pseudogene",NA,NA
"Agpat5",52123,"1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)","ENSMUSG00000031467","1110013A05Rik","8","protein_coding","hepatic steatosis","AGPAT5"
